Product ID,Active (0/1),Name *,Categories (x;y;z...),Price tax excluded or Price tax included,Tax rules ID,Wholesale price,On sale (0/1),Discount amount,Discount percent,Discount from (yyyy-mm-dd),Discount to (yyyy-mm-dd),Reference #,Supplier reference #,Supplier,Manufacturer,EAN13,UPC,Ecotax,Width,Height,Depth,Weight,Quantity,Minimal quantity,Visibility,Additional shipping cost,Unity,Unit price,Short description,Description,Tags (x;y;z...),Meta title,Meta keywords,Meta description,URL rewritten,Text when in stock,Text when backorder allowed,Available for order (0 = No; 1 = Yes),Product available date,Product creation date,Show price (0 = No; 1 = Yes),Image URLs (x;y;z...),Delete existing images (0 = No; 1 = Yes),Feature(Name:Value:Position),Available online only (0 = No; 1 = Yes),Condition,Customizable (0 = No; 1 = Yes),Uploadable files (0 = No; 1 = Yes),Text fields (0 = No; 1 = Yes),Out of stock,ID / Name of shop,Advanced stock management,Depends On Stock,Warehouse
ET-BPF-122-1,1,Indian Ethnic 100% Cotton Voile Running Hand Block Print Natural Fabric ,Bedsheets and Bedcovers,excluded,56,,0,,,,,ET-BPF-122-1,ET-BPF-122-1,Shri Ram Block Prints,Shri Ram Block Prints,,,,1,44,36,,100,1,both,,,1299,"<p>Indian Ethnic 100% Cotton Voile Running Hand Block Print Natural Fabric for Dressmaking, Sewing, Crafting, Upholestry Fabric by The Yards</p>","<p>Feather soft cotton made block print fabric by yards. This fabric is hand crafted by the artisans of Rajasthan. This block print fabric by yards is available in all colors and block print floral designs. Use of vegetable dyes that are eco friendly and skin soft. You can use these in making dresses of block print fabric, napkins, dinner cloths, handkerchief, covers and wraps of block print and block print curtains and block print home decor. This Indian block print consists of floral prints that made on wooden blocks, and then dipped in dye and hand pressed on the fabric. The fabric itself is ultra light and breathable having the properties of cool nature. It is good to go with any color matching as it has plesant block printing color. Super soft and ultra light breathable block print fabric Dyed of Natural vegetable colors without any chemicals Multicolors available in block print fabric. Fabrics measured in yards, 44 inch wide Slight color variation due to hand printing COtton voile fabric, Indian block print. Dress Making, Sewing, Crafting, Napkins, Beachwears, Sarong, Pareo, Scarf/ Scarves, Kaftan, Kurtis, Tops, DIY Prjects and much more.</p>","bedsheets, bedcovers, fabric, block print",Meta title-handmade block print bedheet and bedcover,"Meta keywords-bedsheets, bedcovers, fabric, block print",Meta description-handmade indian block print bedsheet fabric,,In Stock,Current supply. Ordering available,1,,,1,https://i.postimg.cc/m2MM9TZL/BPF-122.jpg,1,,0,new,0,0,0,0,0,0,0,0
ET-BPF-123-1,1,Indian Ethnic 100% Cotton Voile Running Hand Block Print Natural Fabric ,Bedsheets and Bedcovers,excluded,56,,0,,,,,ET-BPF-123-1,ET-BPF-123-1,Shri Ram Block Prints,Shri Ram Block Prints,,,,1,44,36,,100,1,both,,,1299,"<p>Indian Ethnic 100% Cotton Voile Running Hand Block Print Natural Fabric for Dressmaking, Sewing, Crafting, Upholestry Fabric by The Yards</p>","<p>Feather soft cotton made block print fabric by yards. This fabric is hand crafted by the artisans of Rajasthan. This block print fabric by yards is available in all colors and block print floral designs. Use of vegetable dyes that are eco friendly and skin soft. You can use these in making dresses of block print fabric, napkins, dinner cloths, handkerchief, covers and wraps of block print and block print curtains and block print home decor. This Indian block print consists of floral prints that made on wooden blocks, and then dipped in dye and hand pressed on the fabric. The fabric itself is ultra light and breathable having the properties of cool nature. It is good to go with any color matching as it has plesant block printing color. Super soft and ultra light breathable block print fabric Dyed of Natural vegetable colors without any chemicals Multicolors available in block print fabric. Fabrics measured in yards, 44 inch wide Slight color variation due to hand printing COtton voile fabric, Indian block print. Dress Making, Sewing, Crafting, Napkins, Beachwears, Sarong, Pareo, Scarf/ Scarves, Kaftan, Kurtis, Tops, DIY Prjects and much more.</p>","bedsheets, bedcovers, fabric, block print",Meta title-handmade block print bedheet and bedcover,"Meta keywords-bedsheets, bedcovers, fabric, block print",Meta description-handmade indian block print bedsheet fabric,,In Stock,Current supply. Ordering available,1,,,1,https://i.postimg.cc/jqnJVR7H/BPF-123.jpg,1,,0,new,0,0,0,0,0,0,0,0
ET-BPF-124-1,1,Indian Ethnic 100% Cotton Voile Running Hand Block Print Natural Fabric ,Bedsheets and Bedcovers,excluded,56,,0,,,,,ET-BPF-124-1,ET-BPF-124-1,Shri Ram Block Prints,Shri Ram Block Prints,,,,1,44,36,,100,1,both,,,1299,"<p>Indian Ethnic 100% Cotton Voile Running Hand Block Print Natural Fabric for Dressmaking, Sewing, Crafting, Upholestry Fabric by The Yards</p>","<p>Feather soft cotton made block print fabric by yards. This fabric is hand crafted by the artisans of Rajasthan. This block print fabric by yards is available in all colors and block print floral designs. Use of vegetable dyes that are eco friendly and skin soft. You can use these in making dresses of block print fabric, napkins, dinner cloths, handkerchief, covers and wraps of block print and block print curtains and block print home decor. This Indian block print consists of floral prints that made on wooden blocks, and then dipped in dye and hand pressed on the fabric. The fabric itself is ultra light and breathable having the properties of cool nature. It is good to go with any color matching as it has plesant block printing color. Super soft and ultra light breathable block print fabric Dyed of Natural vegetable colors without any chemicals Multicolors available in block print fabric. Fabrics measured in yards, 44 inch wide Slight color variation due to hand printing COtton voile fabric, Indian block print. Dress Making, Sewing, Crafting, Napkins, Beachwears, Sarong, Pareo, Scarf/ Scarves, Kaftan, Kurtis, Tops, DIY Prjects and much more.</p>","bedsheets, bedcovers, fabric, block print",Meta title-handmade block print bedheet and bedcover,"Meta keywords-bedsheets, bedcovers, fabric, block print",Meta description-handmade indian block print bedsheet fabric,,In Stock,Current supply. Ordering available,1,,,1,https://i.postimg.cc/L6dg2Gtr/BPF-124.jpg,1,,0,new,0,0,0,0,0,0,0,0
ET-BPF-125-1,1,Indian Ethnic 100% Cotton Voile Running Hand Block Print Natural Fabric ,Bedsheets and Bedcovers,excluded,56,,0,,,,,ET-BPF-125-1,ET-BPF-125-1,Shri Ram Block Prints,Shri Ram Block Prints,,,,1,44,36,,100,1,both,,,1299,"<p>Indian Ethnic 100% Cotton Voile Running Hand Block Print Natural Fabric for Dressmaking, Sewing, Crafting, Upholestry Fabric by The Yards</p>","<p>Feather soft cotton made block print fabric by yards. This fabric is hand crafted by the artisans of Rajasthan. This block print fabric by yards is available in all colors and block print floral designs. Use of vegetable dyes that are eco friendly and skin soft. You can use these in making dresses of block print fabric, napkins, dinner cloths, handkerchief, covers and wraps of block print and block print curtains and block print home decor. This Indian block print consists of floral prints that made on wooden blocks, and then dipped in dye and hand pressed on the fabric. The fabric itself is ultra light and breathable having the properties of cool nature. It is good to go with any color matching as it has plesant block printing color. Super soft and ultra light breathable block print fabric Dyed of Natural vegetable colors without any chemicals Multicolors available in block print fabric. Fabrics measured in yards, 44 inch wide Slight color variation due to hand printing COtton voile fabric, Indian block print. Dress Making, Sewing, Crafting, Napkins, Beachwears, Sarong, Pareo, Scarf/ Scarves, Kaftan, Kurtis, Tops, DIY Prjects and much more.</p>","bedsheets, bedcovers, fabric, block print",Meta title-handmade block print bedheet and bedcover,"Meta keywords-bedsheets, bedcovers, fabric, block print",Meta description-handmade indian block print bedsheet fabric,,In Stock,Current supply. Ordering available,1,,,1,https://i.postimg.cc/rFLsvxcT/BPF-125.jpg,1,,0,new,0,0,0,0,0,0,0,0
ET-BPF-126-1,1,Indian Ethnic 100% Cotton Voile Running Hand Block Print Natural Fabric ,Bedsheets and Bedcovers,excluded,56,,0,,,,,ET-BPF-126-1,ET-BPF-126-1,Shri Ram Block Prints,Shri Ram Block Prints,,,,1,44,36,,100,1,both,,,1299,"<p>Indian Ethnic 100% Cotton Voile Running Hand Block Print Natural Fabric for Dressmaking, Sewing, Crafting, Upholestry Fabric by The Yards</p>","<p>Feather soft cotton made block print fabric by yards. This fabric is hand crafted by the artisans of Rajasthan. This block print fabric by yards is available in all colors and block print floral designs. Use of vegetable dyes that are eco friendly and skin soft. You can use these in making dresses of block print fabric, napkins, dinner cloths, handkerchief, covers and wraps of block print and block print curtains and block print home decor. This Indian block print consists of floral prints that made on wooden blocks, and then dipped in dye and hand pressed on the fabric. The fabric itself is ultra light and breathable having the properties of cool nature. It is good to go with any color matching as it has plesant block printing color. Super soft and ultra light breathable block print fabric Dyed of Natural vegetable colors without any chemicals Multicolors available in block print fabric. Fabrics measured in yards, 44 inch wide Slight color variation due to hand printing COtton voile fabric, Indian block print. Dress Making, Sewing, Crafting, Napkins, Beachwears, Sarong, Pareo, Scarf/ Scarves, Kaftan, Kurtis, Tops, DIY Prjects and much more.</p>","bedsheets, bedcovers, fabric, block print",Meta title-handmade block print bedheet and bedcover,"Meta keywords-bedsheets, bedcovers, fabric, block print",Meta description-handmade indian block print bedsheet fabric,,In Stock,Current supply. Ordering available,1,,,1,https://i.postimg.cc/t44qjzMK/BPF-126.jpg,1,,0,new,0,0,0,0,0,0,0,0
ET-BPF-127-1,1,Indian Ethnic 100% Cotton Voile Running Hand Block Print Natural Fabric ,Bedsheets and Bedcovers,excluded,56,,0,,,,,ET-BPF-127-1,ET-BPF-127-1,Shri Ram Block Prints,Shri Ram Block Prints,,,,1,44,36,,100,1,both,,,1299,"<p>Indian Ethnic 100% Cotton Voile Running Hand Block Print Natural Fabric for Dressmaking, Sewing, Crafting, Upholestry Fabric by The Yards</p>","<p>Feather soft cotton made block print fabric by yards. This fabric is hand crafted by the artisans of Rajasthan. This block print fabric by yards is available in all colors and block print floral designs. Use of vegetable dyes that are eco friendly and skin soft. You can use these in making dresses of block print fabric, napkins, dinner cloths, handkerchief, covers and wraps of block print and block print curtains and block print home decor. This Indian block print consists of floral prints that made on wooden blocks, and then dipped in dye and hand pressed on the fabric. The fabric itself is ultra light and breathable having the properties of cool nature. It is good to go with any color matching as it has plesant block printing color. Super soft and ultra light breathable block print fabric Dyed of Natural vegetable colors without any chemicals Multicolors available in block print fabric. Fabrics measured in yards, 44 inch wide Slight color variation due to hand printing COtton voile fabric, Indian block print. Dress Making, Sewing, Crafting, Napkins, Beachwears, Sarong, Pareo, Scarf/ Scarves, Kaftan, Kurtis, Tops, DIY Prjects and much more.</p>","bedsheets, bedcovers, fabric, block print",Meta title-handmade block print bedheet and bedcover,"Meta keywords-bedsheets, bedcovers, fabric, block print",Meta description-handmade indian block print bedsheet fabric,,In Stock,Current supply. Ordering available,1,,,1,https://i.postimg.cc/8CFTFzDw/BPF-127.jpg,1,,0,new,0,0,0,0,0,0,0,0
ET-BPF-128-1,1,Indian Ethnic 100% Cotton Voile Running Hand Block Print Natural Fabric ,Bedsheets and Bedcovers,excluded,56,,0,,,,,ET-BPF-128-1,ET-BPF-128-1,Shri Ram Block Prints,Shri Ram Block Prints,,,,1,44,36,,100,1,both,,,1299,"<p>Indian Ethnic 100% Cotton Voile Running Hand Block Print Natural Fabric for Dressmaking, Sewing, Crafting, Upholestry Fabric by The Yards</p>","<p>Feather soft cotton made block print fabric by yards. This fabric is hand crafted by the artisans of Rajasthan. This block print fabric by yards is available in all colors and block print floral designs. Use of vegetable dyes that are eco friendly and skin soft. You can use these in making dresses of block print fabric, napkins, dinner cloths, handkerchief, covers and wraps of block print and block print curtains and block print home decor. This Indian block print consists of floral prints that made on wooden blocks, and then dipped in dye and hand pressed on the fabric. The fabric itself is ultra light and breathable having the properties of cool nature. It is good to go with any color matching as it has plesant block printing color. Super soft and ultra light breathable block print fabric Dyed of Natural vegetable colors without any chemicals Multicolors available in block print fabric. Fabrics measured in yards, 44 inch wide Slight color variation due to hand printing COtton voile fabric, Indian block print. Dress Making, Sewing, Crafting, Napkins, Beachwears, Sarong, Pareo, Scarf/ Scarves, Kaftan, Kurtis, Tops, DIY Prjects and much more.</p>","bedsheets, bedcovers, fabric, block print",Meta title-handmade block print bedheet and bedcover,"Meta keywords-bedsheets, bedcovers, fabric, block print",Meta description-handmade indian block print bedsheet fabric,,In Stock,Current supply. Ordering available,1,,,1,https://i.postimg.cc/L6NSN18N/BPF-128.jpg,1,,0,new,0,0,0,0,0,0,0,0
ET-BPF-129-1,1,Indian Ethnic 100% Cotton Voile Running Hand Block Print Natural Fabric ,Bedsheets and Bedcovers,excluded,56,,0,,,,,ET-BPF-129-1,ET-BPF-129-1,Shri Ram Block Prints,Shri Ram Block Prints,,,,1,44,36,,100,1,both,,,1299,"<p>Indian Ethnic 100% Cotton Voile Running Hand Block Print Natural Fabric for Dressmaking, Sewing, Crafting, Upholestry Fabric by The Yards</p>","<p>Feather soft cotton made block print fabric by yards. This fabric is hand crafted by the artisans of Rajasthan. This block print fabric by yards is available in all colors and block print floral designs. Use of vegetable dyes that are eco friendly and skin soft. You can use these in making dresses of block print fabric, napkins, dinner cloths, handkerchief, covers and wraps of block print and block print curtains and block print home decor. This Indian block print consists of floral prints that made on wooden blocks, and then dipped in dye and hand pressed on the fabric. The fabric itself is ultra light and breathable having the properties of cool nature. It is good to go with any color matching as it has plesant block printing color. Super soft and ultra light breathable block print fabric Dyed of Natural vegetable colors without any chemicals Multicolors available in block print fabric. Fabrics measured in yards, 44 inch wide Slight color variation due to hand printing COtton voile fabric, Indian block print. Dress Making, Sewing, Crafting, Napkins, Beachwears, Sarong, Pareo, Scarf/ Scarves, Kaftan, Kurtis, Tops, DIY Prjects and much more.</p>","bedsheets, bedcovers, fabric, block print",Meta title-handmade block print bedheet and bedcover,"Meta keywords-bedsheets, bedcovers, fabric, block print",Meta description-handmade indian block print bedsheet fabric,,In Stock,Current supply. Ordering available,1,,,1,https://i.postimg.cc/bryMtmk8/BPF-129.jpg,1,,0,new,0,0,0,0,0,0,0,0
ET-BPF-130-1,1,Indian Ethnic 100% Cotton Voile Running Hand Block Print Natural Fabric ,Bedsheets and Bedcovers,excluded,56,,0,,,,,ET-BPF-130-1,ET-BPF-130-1,Shri Ram Block Prints,Shri Ram Block Prints,,,,1,44,36,,100,1,both,,,1299,"<p>Indian Ethnic 100% Cotton Voile Running Hand Block Print Natural Fabric for Dressmaking, Sewing, Crafting, Upholestry Fabric by The Yards</p>","<p>Feather soft cotton made block print fabric by yards. This fabric is hand crafted by the artisans of Rajasthan. This block print fabric by yards is available in all colors and block print floral designs. Use of vegetable dyes that are eco friendly and skin soft. You can use these in making dresses of block print fabric, napkins, dinner cloths, handkerchief, covers and wraps of block print and block print curtains and block print home decor. This Indian block print consists of floral prints that made on wooden blocks, and then dipped in dye and hand pressed on the fabric. The fabric itself is ultra light and breathable having the properties of cool nature. It is good to go with any color matching as it has plesant block printing color. Super soft and ultra light breathable block print fabric Dyed of Natural vegetable colors without any chemicals Multicolors available in block print fabric. Fabrics measured in yards, 44 inch wide Slight color variation due to hand printing COtton voile fabric, Indian block print. Dress Making, Sewing, Crafting, Napkins, Beachwears, Sarong, Pareo, Scarf/ Scarves, Kaftan, Kurtis, Tops, DIY Prjects and much more.</p>","bedsheets, bedcovers, fabric, block print",Meta title-handmade block print bedheet and bedcover,"Meta keywords-bedsheets, bedcovers, fabric, block print",Meta description-handmade indian block print bedsheet fabric,,In Stock,Current supply. Ordering available,1,,,1,https://i.postimg.cc/NfWDhNFM/BPF-130.jpg,1,,0,new,0,0,0,0,0,0,0,0
ET-BPF-131-1,1,Indian Ethnic 100% Cotton Voile Running Hand Block Print Natural Fabric ,Bedsheets and Bedcovers,excluded,56,,0,,,,,ET-BPF-131-1,ET-BPF-131-1,Shri Ram Block Prints,Shri Ram Block Prints,,,,1,44,36,,100,1,both,,,1299,"<p>Indian Ethnic 100% Cotton Voile Running Hand Block Print Natural Fabric for Dressmaking, Sewing, Crafting, Upholestry Fabric by The Yards</p>","<p>Feather soft cotton made block print fabric by yards. This fabric is hand crafted by the artisans of Rajasthan. This block print fabric by yards is available in all colors and block print floral designs. Use of vegetable dyes that are eco friendly and skin soft. You can use these in making dresses of block print fabric, napkins, dinner cloths, handkerchief, covers and wraps of block print and block print curtains and block print home decor. This Indian block print consists of floral prints that made on wooden blocks, and then dipped in dye and hand pressed on the fabric. The fabric itself is ultra light and breathable having the properties of cool nature. It is good to go with any color matching as it has plesant block printing color. Super soft and ultra light breathable block print fabric Dyed of Natural vegetable colors without any chemicals Multicolors available in block print fabric. Fabrics measured in yards, 44 inch wide Slight color variation due to hand printing COtton voile fabric, Indian block print. Dress Making, Sewing, Crafting, Napkins, Beachwears, Sarong, Pareo, Scarf/ Scarves, Kaftan, Kurtis, Tops, DIY Prjects and much more.</p>","bedsheets, bedcovers, fabric, block print",Meta title-handmade block print bedheet and bedcover,"Meta keywords-bedsheets, bedcovers, fabric, block print",Meta description-handmade indian block print bedsheet fabric,,In Stock,Current supply. Ordering available,1,,,1,https://i.postimg.cc/8zQRXjXf/BPF-132.jpg,1,,0,new,0,0,0,0,0,0,0,0
